,miRNA,disease,label
15606,41,287,1
15609,41,290,1
15626,41,307,1
15647,41,328,1
15658,41,339,1
15683,41,364,1
15708,42,6,1
15752,42,50,1
15755,42,53,1
15761,42,59,1
15763,42,61,1
15765,42,63,1
15767,42,65,1
15794,42,92,1
15821,42,119,1
15828,42,126,1
15829,42,127,1
15847,42,145,1
15861,42,159,1
15865,42,163,1
15882,42,180,1
15908,42,206,1
15924,42,222,1
15938,42,236,1
15939,42,237,1
15955,42,253,1
15959,42,257,1
15983,42,281,1
15984,42,282,1
15988,42,286,1
16012,42,310,1
16030,42,328,1
16077,42,375,1
16079,42,377,1
16080,42,378,1
16091,43,6,1
16101,43,16,1
16105,43,20,1
16107,43,22,1
16125,43,40,1
16135,43,50,1
16136,43,51,1
16138,43,53,1
16144,43,59,1
16150,43,65,1
16177,43,92,1
16178,43,93,1
16205,43,120,1
16211,43,126,1
16230,43,145,1
16232,43,147,1
16251,43,166,1
16252,43,167,1
16256,43,171,1
16265,43,180,1
16270,43,185,1
16295,43,210,1
16297,43,212,1
16301,43,216,1
16303,43,218,1
16304,43,219,1
16307,43,222,1
16321,43,236,1
16322,43,237,1
16325,43,240,1
16326,43,241,1
16329,43,244,1
16330,43,245,1
16333,43,248,1
16337,43,252,1
16338,43,253,1
16340,43,255,1
16345,43,260,1
16351,43,266,1
16354,43,269,1
16355,43,270,1
16356,43,271,1
16366,43,281,1
16367,43,282,1
16375,43,290,1
16387,43,302,1
16389,43,304,1
16392,43,307,1
16403,43,318,1
16408,43,323,1
16413,43,328,1
16417,43,332,1
16423,43,338,1
16426,43,341,1
16449,43,364,1
16458,43,373,1
16459,43,374,1
16462,43,377,1
16463,43,378,1
16465,43,380,1
16474,44,6,1
16476,44,8,1
16477,44,9,1
16478,44,10,1
16479,44,11,1
16503,44,35,1
16516,44,48,1
16518,44,50,1
16527,44,59,1
16529,44,61,1
16531,44,63,1
16533,44,65,1
16561,44,93,1
16587,44,119,1
16591,44,123,1
16594,44,126,1
16613,44,145,1
16631,44,163,1
16659,44,191,1
16666,44,198,1
16667,44,199,1
16671,44,203,1
16700,44,232,1
16704,44,236,1
16707,44,239,1
16708,44,240,1
16721,44,253,1
16730,44,262,1
16737,44,269,1
16739,44,271,1
16750,44,282,1
16753,44,285,1
16758,44,290,1
16770,44,302,1
16775,44,307,1
16791,44,323,1
16814,44,346,1
16845,44,377,1
16857,45,6,1
16901,45,50,1
16914,45,63,1
16944,45,93,1
16998,45,147,1
17014,45,163,1
17056,45,205,1
17104,45,253,1
17111,45,260,1
17155,45,304,1
17229,45,378,1
17240,46,6,1
17249,46,15,1
17267,46,33,1
17268,46,34,1
17269,46,35,1
17284,46,50,1
17287,46,53,1
17293,46,59,1
17295,46,61,1
17305,46,71,1
17317,46,83,1
17326,46,92,1
17327,46,93,1
17329,46,95,1
17356,46,122,1
17376,46,142,1
17379,46,145,1
17381,46,147,1
17393,46,159,1
17403,46,169,1
17409,46,175,1
17410,46,176,1
17417,46,183,1
17420,46,186,1
17425,46,191,1
17448,46,214,1
17450,46,216,1
17453,46,219,1
17461,46,227,1
17465,46,231,1
17470,46,236,1
17477,46,243,1
17481,46,247,1
17484,46,250,1
17487,46,253,1
17494,46,260,1
17496,46,262,1
17503,46,269,1
17513,46,279,1
17516,46,282,1
17519,46,285,1
17530,46,296,1
17536,46,302,1
17538,46,304,1
17541,46,307,1
17543,46,309,1
17553,46,319,1
17555,46,321,1
17562,46,328,1
17583,46,349,1
17598,46,364,1
17604,46,370,1
17611,46,377,1
17612,46,378,1
17623,47,6,1
17649,47,32,1
17653,47,36,1
17658,47,41,1
17667,47,50,1
17676,47,59,1
17678,47,61,1
17682,47,65,1
17709,47,92,1
17724,47,107,1
17737,47,120,1
17740,47,123,1
17743,47,126,1
17776,47,159,1
17780,47,163,1
17793,47,176,1
17833,47,216,1
17836,47,219,1
17838,47,221,1
17849,47,232,1
17853,47,236,1
17856,47,239,1
17860,47,243,1
17866,47,249,1
17867,47,250,1
17869,47,252,1
17877,47,260,1
17879,47,262,1
17888,47,271,1
17898,47,281,1
17916,47,299,1
17919,47,302,1
17921,47,304,1
17924,47,307,1
17938,47,321,1
17939,47,322,1
17945,47,328,1
17947,47,330,1
17955,47,338,1
17973,47,356,1
17981,47,364,1
17993,47,376,1
18006,48,6,1
18008,48,8,1
18050,48,50,1
18059,48,59,1
18082,48,82,1
18093,48,93,1
18121,48,121,1
18126,48,126,1
18145,48,145,1
18169,48,169,1
18219,48,219,1
18236,48,236,1
18253,48,253,1
18255,48,255,1
18265,48,265,1
18275,48,275,1
18282,48,282,1
18285,48,285,1
18304,48,304,1
18307,48,307,1
18328,48,328,1
18364,48,364,1
18370,48,370,1
18389,49,6,1
18391,49,8,1
18402,49,19,1
18433,49,50,1
18446,49,63,1
18476,49,93,1
18499,49,116,1
18530,49,147,1
18542,49,159,1
18546,49,163,1
18569,49,186,1
18607,49,224,1
18619,49,236,1
18624,49,241,1
18631,49,248,1
18702,49,319,1
18736,49,353,1
18747,49,364,1
18772,50,6,1
18807,50,41,1
18816,50,50,1
18819,50,53,1
18825,50,59,1
18831,50,65,1
18858,50,92,1
18859,50,93,1
18892,50,126,1
18908,50,142,1
18911,50,145,1
18913,50,147,1
18925,50,159,1
18972,50,206,1
18974,50,208,1
18976,50,210,1
18983,50,217,1
18989,50,223,1
19002,50,236,1
19003,50,237,1
19018,50,252,1
19019,50,253,1
19021,50,255,1
19023,50,257,1
19030,50,264,1
19037,50,271,1
19048,50,282,1
19070,50,304,1
19073,50,307,1
19094,50,328,1
19096,50,330,1
19100,50,334,1
19106,50,340,1
19113,50,347,1
19118,50,352,1
19121,50,355,1
19130,50,364,1
19136,50,370,1
19143,50,377,1
19155,51,6,1
19199,51,50,1
19210,51,61,1
19212,51,63,1
19214,51,65,1
19242,51,93,1
19275,51,126,1
19305,51,156,1
19312,51,163,1
19331,51,182,1
19345,51,196,1
19365,51,216,1
19368,51,219,1
19370,51,221,1
19385,51,236,1
19402,51,253,1
19404,51,255,1
19428,51,279,1
19430,51,281,1
19431,51,282,1
19453,51,304,1
19456,51,307,1
19459,51,310,1
19477,51,328,1
19495,51,346,1
19510,51,361,1
19513,51,364,1
19519,51,370,1
19526,51,377,1
19527,51,378,1
19538,52,6,1
19572,52,40,1
19573,52,41,1
19582,52,50,1
19588,52,56,1
19593,52,61,1
19595,52,63,1
19625,52,93,1
19651,52,119,1
19652,52,120,1
19672,52,140,1
19681,52,149,1
19695,52,163,1
19696,52,164,1
19769,52,237,1
19785,52,253,1
19814,52,282,1
19818,52,286,1
19836,52,304,1
19839,52,307,1
19896,52,364,1
19909,52,377,1
19921,53,6,1
19926,53,11,1
19976,53,61,1
20007,53,92,1
20086,53,171,1
20219,53,304,1
20243,53,328,1
20260,53,345,1
20279,53,364,1
20292,53,377,1
20304,54,6,1
20309,54,11,1
20357,54,59,1
20359,54,61,1
20398,54,100,1
20418,54,120,1
20602,54,304,1
20643,54,345,1
20662,54,364,1
20687,55,6,1
20689,55,8,1
20719,55,38,1
20721,55,40,1
20731,55,50,1
20732,55,51,1
20740,55,59,1
20744,55,63,1
20746,55,65,1
20773,55,92,1
20774,55,93,1
20776,55,95,1
20804,55,123,1
20807,55,126,1
20826,55,145,1
20844,55,163,1
20847,55,166,1
20848,55,167,1
20861,55,180,1
20891,55,210,1
20893,55,212,1
20897,55,216,1
20899,55,218,1
20900,55,219,1
20903,55,222,1
20917,55,236,1
20921,55,240,1
20922,55,241,1
20925,55,244,1
20926,55,245,1
20929,55,248,1
20933,55,252,1
20936,55,255,1
20941,55,260,1
20946,55,265,1
20947,55,266,1
20949,55,268,1
20952,55,271,1
20963,55,282,1
20966,55,285,1
20971,55,290,1
20983,55,302,1
20985,55,304,1
20988,55,307,1
20999,55,318,1
21009,55,328,1
21022,55,341,1
21034,55,353,1
21036,55,355,1
21051,55,370,1
21058,55,377,1
21070,56,6,1
21102,56,38,1
21114,56,50,1
21115,56,51,1
21118,56,54,1
21123,56,59,1
21125,56,61,1
21127,56,63,1
21157,56,93,1
21211,56,147,1
21270,56,206,1
21271,56,207,1
21300,56,236,1
21317,56,253,1
21332,56,268,1
21346,56,282,1
21354,56,290,1
21366,56,302,1
21368,56,304,1
21369,56,305,1
21392,56,328,1
21428,56,364,1
21438,56,374,1
21439,56,375,1
21441,56,377,1
21453,57,6,1
21485,57,38,1
21540,57,93,1
21592,57,145,1
21606,57,159,1
21628,57,181,1
21683,57,236,1
21754,57,307,1
21811,57,364,1
21836,58,6,1
21865,58,35,1
21889,58,59,1
21893,58,63,1
21950,58,120,1
21956,58,126,1
22090,58,260,1
22092,58,262,1
22134,58,304,1
22158,58,328,1
22175,58,345,1
22180,58,350,1
22207,58,377,1
22221,59,8,1
22246,59,33,1
22263,59,50,1
22272,59,59,1
22276,59,63,1
22305,59,92,1
22306,59,93,1
22310,59,97,1
22323,59,110,1
22332,59,119,1
22333,59,120,1
22372,59,159,1
22376,59,163,1
22398,59,185,1
22399,59,186,1
22404,59,191,1
22432,59,219,1
22448,59,235,1
22449,59,236,1
22452,59,239,1
22460,59,247,1
22466,59,253,1
22475,59,262,1
22482,59,269,1
22494,59,281,1
22495,59,282,1
22517,59,304,1
22520,59,307,1
22530,59,317,1
22554,59,341,1
22562,59,349,1
22563,59,350,1
22583,59,370,1
22604,60,8,1
22612,60,16,1
22646,60,50,1
22655,60,59,1
22657,60,61,1
22659,60,63,1
22661,60,65,1
22688,60,92,1
22717,60,121,1
22722,60,126,1
22741,60,145,1
22755,60,159,1
22765,60,169,1
22772,60,176,1
22832,60,236,1
22833,60,237,1
22836,60,240,1
22840,60,244,1
22844,60,248,1
22877,60,281,1
22878,60,282,1
22900,60,304,1
22903,60,307,1
22911,60,315,1
22924,60,328,1
22960,60,364,1
22961,60,365,1
22973,60,377,1
22987,61,8,1
23370,62,8,1
23753,63,8,1
23838,63,93,1
23857,63,112,1
23871,63,126,1
24136,64,8,1
24519,65,8,1
24522,65,11,1
24526,65,15,1
24527,65,16,1
24561,65,50,1
24564,65,53,1
24570,65,59,1
24572,65,61,1
24575,65,64,1
24576,65,65,1
24580,65,69,1
24603,65,92,1
24604,65,93,1
24614,65,103,1
24630,65,119,1
24631,65,120,1
24656,65,145,1
24658,65,147,1
24670,65,159,1
24678,65,167,1
24689,65,178,1
24690,65,179,1
24693,65,182,1
24717,65,206,1
24721,65,210,1
24723,65,212,1
24724,65,213,1
24727,65,216,1
24729,65,218,1
24730,65,219,1
24732,65,221,1
24735,65,224,1
24746,65,235,1
24747,65,236,1
24748,65,237,1
24759,65,248,1
24763,65,252,1
24764,65,253,1
24768,65,257,1
24771,65,260,1
24780,65,269,1
24783,65,272,1
24790,65,279,1
24791,65,280,1
24793,65,282,1
24806,65,295,1
24813,65,302,1
24815,65,304,1
24818,65,307,1
24823,65,312,1
24831,65,320,1
24832,65,321,1
24837,65,326,1
24838,65,327,1
24839,65,328,1
24841,65,330,1
24847,65,336,1
24875,65,364,1
24881,65,370,1
24888,65,377,1
24889,65,378,1
24902,66,8,1
25285,67,8,1
25467,67,190,1
25668,68,8,1
25693,68,33,1
25695,68,35,1
25696,68,36,1
25698,68,38,1
25710,68,50,1
25713,68,53,1
25719,68,59,1
25721,68,61,1
25723,68,63,1
25753,68,93,1
25779,68,119,1
25783,68,123,1
25805,68,145,1
25807,68,147,1
25819,68,159,1
25850,68,190,1
25876,68,216,1
25896,68,236,1
25913,68,253,1
25921,68,261,1
25922,68,262,1
25939,68,279,1
25945,68,285,1
25950,68,290,1
25956,68,296,1
25964,68,304,1
25967,68,307,1
25973,68,313,1
25988,68,328,1
25990,68,330,1
26015,68,355,1
26019,68,359,1
26024,68,364,1
26030,68,370,1
26051,69,8,1
26054,69,11,1
26060,69,17,1
26067,69,24,1
26076,69,33,1
26093,69,50,1
26102,69,59,1
26104,69,61,1
26108,69,65,1
26136,69,93,1
26162,69,119,1
26169,69,126,1
26183,69,140,1
26185,69,142,1
26188,69,145,1
26198,69,155,1
26206,69,163,1
26217,69,174,1
26259,69,216,1
26279,69,236,1
26295,69,252,1
26296,69,253,1
26303,69,260,1
26305,69,262,1
26306,69,263,1
26321,69,278,1
26347,69,304,1
26350,69,307,1
26351,69,308,1
26371,69,328,1
26407,69,364,1
26434,70,8,1
26450,70,24,1
26459,70,33,1
26464,70,38,1
26476,70,50,1
26485,70,59,1
26519,70,93,1
26575,70,149,1
26658,70,232,1
26672,70,246,1
26730,70,304,1
26790,70,364,1
26817,71,8,1
26841,71,32,1
26849,71,40,1
26859,71,50,1
26860,71,51,1
26863,71,54,1
26868,71,59,1
26874,71,65,1
26901,71,92,1
26902,71,93,1
26954,71,145,1
26956,71,147,1
26968,71,159,1
26972,71,163,1
26975,71,166,1
26976,71,167,1
26978,71,169,1
26989,71,180,1
27019,71,210,1
27021,71,212,1
27025,71,216,1
27027,71,218,1
27028,71,219,1
27031,71,222,1
27045,71,236,1
27049,71,240,1
27050,71,241,1
27053,71,244,1
27054,71,245,1
27057,71,248,1
27061,71,252,1
27062,71,253,1
27064,71,255,1
27069,71,260,1
27075,71,266,1
27090,71,281,1
27091,71,282,1
27099,71,290,1
27105,71,296,1
27111,71,302,1
27113,71,304,1
27116,71,307,1
27127,71,318,1
27150,71,341,1
27173,71,364,1
27182,71,373,1
27183,71,374,1
27186,71,377,1
27189,71,380,1
27200,72,8,1
27242,72,50,1
27246,72,54,1
27251,72,59,1
27257,72,65,1
27285,72,93,1
27311,72,119,1
27334,72,142,1
27339,72,147,1
27351,72,159,1
27355,72,163,1
27361,72,169,1
27428,72,236,1
27432,72,240,1
27445,72,253,1
27473,72,281,1
27474,72,282,1
27556,72,364,1
27566,72,374,1
27583,73,8,1
27672,73,97,1
27695,73,120,1
27701,73,126,1
27720,73,145,1
27722,73,147,1
27746,73,171,1
27785,73,210,1
27791,73,216,1
27794,73,219,1
27857,73,282,1
27869,73,294,1
27882,73,307,1
27896,73,321,1
27903,73,328,1
27939,73,364,1
27952,73,377,1
27966,74,8,1
28349,75,8,1
28363,75,22,1
28373,75,32,1
28377,75,36,1
28381,75,40,1
28391,75,50,1
28392,75,51,1
28395,75,54,1
28400,75,59,1
28406,75,65,1
28433,75,92,1
28434,75,93,1
28486,75,145,1
28504,75,163,1
28507,75,166,1
28508,75,167,1
28521,75,180,1
28533,75,192,1
28551,75,210,1
28553,75,212,1
28557,75,216,1
28559,75,218,1
28560,75,219,1
28563,75,222,1
28577,75,236,1
28578,75,237,1
28581,75,240,1
28582,75,241,1
28585,75,244,1
28586,75,245,1
28589,75,248,1
28593,75,252,1
28594,75,253,1
28596,75,255,1
28601,75,260,1
28603,75,262,1
28607,75,266,1
28623,75,282,1
28631,75,290,1
28643,75,302,1
28645,75,304,1
28651,75,310,1
28655,75,314,1
28659,75,318,1
28682,75,341,1
28714,75,373,1
28717,75,376,1
28718,75,377,1
28719,75,378,1
28732,76,8,1
28774,76,50,1
28783,76,59,1
28787,76,63,1
28804,76,80,1
28817,76,93,1
28915,76,191,1
28943,76,219,1
28960,76,236,1
28976,76,252,1
28977,76,253,1
28978,76,254,1
29012,76,288,1
29028,76,304,1
29077,76,353,1
29115,77,8,1
29145,77,38,1
29157,77,50,1
29166,77,59,1
29168,77,61,1
29169,77,62,1
29170,77,63,1
29172,77,65,1
29174,77,67,1
29200,77,93,1
29226,77,119,1
29233,77,126,1
29254,77,147,1
29269,77,162,1
29270,77,163,1
29278,77,171,1
29317,77,210,1
29326,77,219,1
29343,77,236,1
29349,77,242,1
29389,77,282,1
29411,77,304,1
29414,77,307,1
29435,77,328,1
29471,77,364,1
29484,77,377,1
29485,77,378,1
29487,77,380,1
29498,78,8,1
29540,78,50,1
29551,78,61,1
29555,78,65,1
29559,78,69,1
29583,78,93,1
29588,78,98,1
29604,78,114,1
29609,78,119,1
29635,78,145,1
29637,78,147,1
29649,78,159,1
29706,78,216,1
29714,78,224,1
29726,78,236,1
29743,78,253,1
29747,78,257,1
29751,78,261,1
29780,78,290,1
29789,78,299,1
29818,78,328,1
29854,78,364,1
29867,78,377,1
29881,79,8,1
29884,79,11,1
29899,79,26,1
29909,79,36,1
29923,79,50,1
29926,79,53,1
29932,79,59,1
29934,79,61,1
29938,79,65,1
29965,79,92,1
29966,79,93,1
29996,79,123,1
30018,79,145,1
30020,79,147,1
30036,79,163,1
30044,79,171,1
30060,79,187,1
30090,79,217,1
30093,79,220,1
30105,79,232,1
30109,79,236,1
30110,79,237,1
30112,79,239,1
30125,79,252,1
30126,79,253,1
30135,79,262,1
30144,79,271,1
30155,79,282,1
30177,79,304,1
30183,79,310,1
30187,79,314,1
30226,79,353,1
30264,80,8,1
30282,80,26,1
30283,80,27,1
30284,80,28,1
30292,80,36,1
30306,80,50,1
30315,80,59,1
30354,80,98,1
30382,80,126,1
30417,80,161,1
30419,80,163,1
30427,80,171,1
30443,80,187,1
30454,80,198,1
30492,80,236,1
30509,80,253,1
30513,80,257,1
30516,80,260,1
30560,80,304,1
30566,80,310,1
30609,80,353,1
30620,80,364,1
30635,80,379,1
30647,81,8,1
30665,81,26,1
30675,81,36,1
30689,81,50,1
30698,81,59,1
30702,81,63,1
30731,81,92,1
30758,81,119,1
30784,81,145,1
30802,81,163,1
30810,81,171,1
30858,81,219,1
30875,81,236,1
30894,81,255,1
30921,81,282,1
30943,81,304,1
30946,81,307,1
30949,81,310,1
30967,81,328,1
30980,81,341,1
31003,81,364,1
31018,81,379,1
31030,82,8,1
31034,82,12,1
31072,82,50,1
31081,82,59,1
31122,82,100,1
31413,83,8,1
31455,83,50,1
31464,83,59,1
31498,83,93,1
31560,83,155,1
31607,83,202,1
31644,83,239,1
31796,84,8,1
31838,84,50,1
31847,84,59,1
31881,84,93,1
31930,84,142,1
31957,84,169,1
32024,84,236,1
32040,84,252,1
32041,84,253,1
32049,84,261,1
32073,84,285,1
32079,84,291,1
32092,84,304,1
32095,84,307,1
32166,84,378,1
32179,85,8,1
32264,85,93,1
32362,85,191,1
32407,85,236,1
32450,85,279,1
32562,86,8,1
32589,86,35,1
32604,86,50,1
32647,86,93,1
32680,86,126,1
32699,86,145,1
32717,86,163,1
32727,86,173,1
32770,86,216,1
32773,86,219,1
32794,86,240,1
32807,86,253,1
32814,86,260,1
32845,86,291,1
32877,86,323,1
32879,86,325,1
32880,86,326,1
32910,86,356,1
32918,86,364,1
32930,86,376,1
32945,87,8,1
32987,87,50,1
32996,87,59,1
32998,87,61,1
33030,87,93,1
33177,87,240,1
33315,87,378,1
33328,88,8,1
33333,88,13,1
33352,88,32,1
33355,88,35,1
33369,88,49,1
33370,88,50,1
33373,88,53,1
33379,88,59,1
33381,88,61,1
33383,88,63,1
33384,88,64,1
33385,88,65,1
33390,88,70,1
33406,88,86,1
33412,88,92,1
33413,88,93,1
33415,88,95,1
33446,88,126,1
33451,88,131,1
33452,88,132,1
33465,88,145,1
33466,88,146,1
33467,88,147,1
33479,88,159,1
33491,88,171,1
33526,88,206,1
33530,88,210,1
33535,88,215,1
33536,88,216,1
33539,88,219,1
33541,88,221,1
33556,88,236,1
33561,88,241,1
33563,88,243,1
33572,88,252,1
33573,88,253,1
33576,88,256,1
33582,88,262,1
33589,88,269,1
33591,88,271,1
33599,88,279,1
33602,88,282,1
33605,88,285,1
33610,88,290,1
33622,88,302,1
33624,88,304,1
33626,88,306,1
33627,88,307,1
33641,88,321,1
33648,88,328,1
33652,88,332,1
33655,88,335,1
33661,88,341,1
33666,88,346,1
33668,88,348,1
33673,88,353,1
33684,88,364,1
33697,88,377,1
33698,88,378,1
33711,89,8,1
33762,89,59,1
33778,89,75,1
33796,89,93,1
33800,89,97,1
33858,89,155,1
33956,89,253,1
33965,89,262,1
34069,89,366,1
34094,90,8,1
34276,90,190,1
34396,90,310,1
34450,90,364,1
34477,91,8,1
34523,91,54,1
34528,91,59,1
34530,91,61,1
34532,91,63,1
34535,91,66,1
34562,91,93,1
34588,91,119,1
34675,91,206,1
34679,91,210,1
34722,91,253,1
34738,91,269,1
34745,91,276,1
34748,91,279,1
34751,91,282,1
34754,91,285,1
34788,91,319,1
34797,91,328,1
34799,91,330,1
34833,91,364,1
34846,91,377,1
34860,92,8,1
34896,92,44,1
34911,92,59,1
34917,92,65,1
35216,92,364,1
35228,92,376,1
35243,93,8,1
35319,93,84,1
35474,93,239,1
35505,93,270,1
35539,93,304,1
35545,93,310,1
35599,93,364,1
35626,94,8,1
35668,94,50,1
35681,94,63,1
35744,94,126,1
35763,94,145,1
35781,94,163,1
35870,94,252,1
35871,94,253,1
35880,94,262,1
35946,94,328,1
35995,94,377,1
36009,95,8,1
36064,95,63,1
36094,95,93,1
36127,95,126,1
36211,95,210,1
36392,96,8,1
36434,96,50,1
36775,97,8,1
36832,97,65,1
36917,97,150,1
37131,97,364,1
37158,98,8,1
37541,99,8,1
37924,100,8,1
38307,101,8,1
38690,102,8,1
39073,103,8,1
39456,104,8,1
39507,104,59,1
39611,104,163,1
39664,104,216,1
39701,104,253,1
39812,104,364,1
39839,105,8,1
39894,105,63,1
40222,106,8,1
40225,106,11,1
40252,106,38,1
40254,106,40,1
40264,106,50,1
40273,106,59,1
40275,106,61,1
40277,106,63,1
40307,106,93,1
40337,106,123,1
40356,106,142,1
40359,106,145,1
40361,106,147,1
40373,106,159,1
40450,106,236,1
40467,106,253,1
40469,106,255,1
40471,106,257,1
40496,106,282,1
40503,106,289,1
40504,106,290,1
40506,106,292,1
40524,106,310,1
40546,106,332,1
40557,106,343,1
40567,106,353,1
40578,106,364,1
40584,106,370,1
40591,106,377,1
40592,106,378,1
40605,107,8,1
40656,107,59,1
40756,107,159,1
40961,107,364,1
40988,108,8,1
41024,108,44,1
41372,109,9,1
41374,109,11,1
41398,109,35,1
41413,109,50,1
41422,109,59,1
41424,109,61,1
41426,109,63,1
41427,109,64,1
41428,109,65,1
41482,109,119,1
41483,109,120,1
41489,109,126,1
41522,109,159,1
41582,109,219,1
41599,109,236,1
41625,109,262,1
41626,109,263,1
41644,109,281,1
41667,109,304,1
41670,109,307,1
41684,109,321,1
41691,109,328,1
41693,109,330,1
41695,109,332,1
41727,109,364,1
41733,109,370,1
41740,109,377,1
41741,109,378,1
41755,110,9,1
41796,110,50,1
41799,110,53,1
41805,110,59,1
41807,110,61,1
41811,110,65,1
41813,110,67,1
41815,110,69,1
41828,110,82,1
41872,110,126,1
41893,110,147,1
41920,110,174,1
41928,110,182,1
41973,110,227,1
41982,110,236,1
41987,110,241,1
41999,110,253,1
42001,110,255,1
42008,110,262,1
42027,110,281,1
42028,110,282,1
42031,110,285,1
42050,110,304,1
42053,110,307,1
42074,110,328,1
42084,110,338,1
42086,110,340,1
42097,110,351,1
42103,110,357,1
42110,110,364,1
42124,110,378,1
42138,111,9,1
42139,111,10,1
42140,111,11,1
42167,111,38,1
42188,111,59,1
42368,111,239,1
42521,112,9,1
42570,112,58,1
42571,112,59,1
42617,112,105,1
42697,112,185,1
42867,112,355,1
42876,112,364,1
42889,112,377,1
42904,113,9,1
42954,113,59,1
42958,113,63,1
42988,113,93,1
43002,113,107,1
43014,113,119,1
43015,113,120,1
43021,113,126,1
43040,113,145,1
43054,113,159,1
43134,113,239,1
43148,113,253,1
43152,113,257,1
43177,113,282,1
43185,113,290,1
43199,113,304,1
43202,113,307,1
43216,113,321,1
43222,113,327,1
43223,113,328,1
43225,113,330,1
43272,113,377,1
43288,114,10,1
43289,114,11,1
43337,114,59,1
43339,114,61,1
43343,114,65,1
43371,114,93,1
43373,114,95,1
43404,114,126,1
43423,114,145,1
43437,114,159,1
43441,114,163,1
43494,114,216,1
43496,114,218,1
43540,114,262,1
43582,114,304,1
43592,114,314,1
43604,114,326,1
43606,114,328,1
43642,114,364,1
43648,114,370,1
43671,115,10,1
43824,115,163,1
43839,115,178,1
43880,115,219,1
44054,116,10,1
44055,116,11,1
44103,116,59,1
44137,116,93,1
44151,116,107,1
44191,116,147,1
44242,116,198,1
44296,116,252,1
44359,116,315,1
44380,116,336,1
44400,116,356,1
44427,116,383,1
44438,117,11,1
44460,117,33,1
44477,117,50,1
44486,117,59,1
44488,117,61,1
44490,117,63,1
44499,117,72,1
44519,117,92,1
44520,117,93,1
44537,117,110,1
44546,117,119,1
44547,117,120,1
44553,117,126,1
44586,117,159,1
44590,117,163,1
44598,117,171,1
44613,117,186,1
44618,117,191,1
44646,117,219,1
44653,117,226,1
44659,117,232,1
44663,117,236,1
44674,117,247,1
44680,117,253,1
44684,117,257,1
44696,117,269,1
44708,117,281,1
44709,117,282,1
44718,117,291,1
44731,117,304,1
44734,117,307,1
44744,117,317,1
44748,117,321,1
44750,117,323,1
44755,117,328,1
44768,117,341,1
